Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
input/vocabulary/coverage-type-code-ValueSet.json	1216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	1865	0	0	0	0	0	0
input/vocabulary/datum-code-CodeSystem.json	1405	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	46	1849	0	0	0	0	0	0
input/vocabulary/datumCode-ValueSet.json	1305	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	40	1866	0	0	0	0	0	0
input/vocabulary/dhb-ValueSet.json	1363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	1864	0	0	0	0	0	0
input/vocabulary/dhb-code-CodeSystem.json	3177	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	48	1863	0	0	0	1	0	0
input/vocabulary/dod-information-source-code-ValueSet.json	2084	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	53	1872	0	0	0	0	0	0
input/vocabulary/domicile-code-CodeSystem.json	147256	19	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	1	0	0	211	1954	0	0	0	6	0	2
input/vocabulary/domicile-code-ValueSet.json	1147	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	53	1889	0	0	0	0	0	0
input/vocabulary/ethnicity-ValueSet.json	1595	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	47	1870	0	0	0	1	0	0
input/vocabulary/ethnicityL4-CodeSystem.json	15174	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	61	1863	0	0	0	1	0	1
input/vocabulary/funded-programme-CodeSystem.json	1681	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	49	1859	0	0	0	0	0	0
input/vocabulary/funded-programme-ValueSet.json	1273	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	1859	0	0	0	0	0	0
input/vocabulary/hpi-practitionerRole-status-reason-CodeSystem.json	1812	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	39	1851	0	0	0	0	0	0
input/vocabulary/hpi-practitionerrole-status-reason-ValueSet.json	1542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	1865	0	0	0	0	0	0
input/vocabulary/information-source-CodeSystem.json	5213	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	49	1855	0	0	0	0	0	0
